id,name,lat,long,dock_count,city,installation_date
69,San Francisco Caltrain 2 (330 Townsend),37.7766,-122.39546999999999,23,San Francisco,8/23/2013
70,San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526000000001,19,San Francisco,8/23/2013
71,Powell at Post (Union Square),37.788446,-122.408499,19,San Francisco,8/23/2013
72,Civic Center BART (7th at Market),37.781039,-122.411748,23,San Francisco,8/23/2013
73,Grant Avenue at Columbus Avenue,37.798522,-122.40724499999999,15,San Francisco,8/21/2013
74,Steuart at Market,37.794139,-122.394434,23,San Francisco,8/25/2013
75,Mechanics Plaza (Market at Battery),37.7913,-122.399051,19,San Francisco,8/25/2013
76,Market at 4th,37.786305,-122.40496599999999,19,San Francisco,8/25/2013
77,Market at Sansome,37.789625,-122.400811,27,San Francisco,8/25/2013
80,Santa Clara County Civic Center,37.352601,-121.90573300000001,15,San Jose,12/31/2013
82,Broadway St at Battery St,37.798541,-122.40086200000002,15,San Francisco,1/22/2014
83,Mezes Park,37.491269,-122.23623400000001,15,Redwood City,2/20/2014
84,Ryland Park,37.342725,-121.89561699999999,15,San Jose,4/9/2014
