year,home,away,homeGoals,awayGoals,totalGoals
1962.0,Chile,Italy,2,0,2
1962.0,West Germany,Switzerland,2,1,3
1962.0,West Germany,Chile,2,0,2
1962.0,Italy,Switzerland,3,0,3
1962.0,Brazil,Mexico,2,0,2
1962.0,Czechoslovakia,Spain,1,0,1
1962.0,Brazil,Czechoslovakia,0,0,0
1962.0,Spain,Mexico,1,0,1
1962.0,Brazil,Spain,2,1,3
1962.0,Mexico,Czechoslovakia,3,1,4
1962.0,Argentina,Bulgaria,1,0,1
1962.0,Hungary,England,2,1,3
1962.0,England,Argentina,3,1,4
1962.0,Hungary,Bulgaria,6,1,7
1962.0,Hungary,Argentina,0,0,0
1962.0,England,Bulgaria,0,0,0
1962.0,Chile,Soviet Union,2,1,3
1962.0,Czechoslovakia,Hungary,1,0,1
1962.0,Brazil,England,3,1,4
1962.0,Yugoslavia,West Germany,1,0,1
1962.0,Czechoslovakia,Yugoslavia,3,1,4
1962.0,Brazil,Chile,4,2,6
1962.0,Chile,Yugoslavia,1,0,1
1962.0,Brazil,Czechoslovakia,3,1,4
1966.0,England,Uruguay,0,0,0
1966.0,France,Mexico,1,1,2
1966.0,Uruguay,France,2,1,3
1966.0,England,Mexico,2,0,2
1966.0,Mexico,Uruguay,0,0,0
1966.0,England,France,2,0,2
1966.0,West Germany,Switzerland,5,0,5
1966.0,Argentina,Spain,2,1,3
1966.0,Spain,Switzerland,2,1,3
1966.0,Argentina,West Germany,0,0,0
1966.0,Argentina,Switzerland,2,0,2
1966.0,West Germany,Spain,2,1,3
1966.0,Brazil,Bulgaria,2,0,2
1966.0,Portugal,Hungary,3,1,4
1966.0,Hungary,Brazil,3,1,4
1966.0,Portugal,Bulgaria,3,0,3
1966.0,Portugal,Brazil,3,1,4
1966.0,Hungary,Bulgaria,3,1,4
1966.0,Soviet Union,North Korea,3,0,3
1966.0,Italy,Chile,2,0,2
1966.0,Chile,North Korea,1,1,2
1966.0,Soviet Union,Italy,1,0,1
1966.0,North Korea,Italy,1,0,1
1966.0,Soviet Union,Chile,2,1,3
1966.0,England,Argentina,1,0,1
1966.0,West Germany,Uruguay,4,0,4
1966.0,Soviet Union,Hungary,2,1,3
1966.0,Portugal,North Korea,5,3,8
1966.0,West Germany,Soviet Union,2,1,3
1966.0,England,Portugal,2,1,3
1966.0,Portugal,Soviet Union,2,1,3
1966.0,England,West Germany,4,2,6
1970.0,Soviet Union,Uruguay,0,1,1
1970.0,Italy,Mexico,4,1,5
1970.0,Brazil,Peru,4,2,6
1970.0,West Germany,England,3,2,5
1970.0,Uruguay,Brazil,1,3,4
1970.0,Italy,West Germany,4,3,7
1970.0,Uruguay,West Germany,0,1,1
1970.0,Brazil,Italy,4,1,5
1970.0,Mexico,Soviet Union,0,0,0
1970.0,Belgium,El Salvador,3,0,3
1970.0,Soviet Union,Belgium,4,1,5
1970.0,Mexico,El Salvador,4,0,4
1970.0,Soviet Union,El Salvador,2,0,2
1970.0,Mexico,Belgium,1,0,1
1970.0,Uruguay,Israel,2,0,2
1970.0,Italy,Sweden,1,0,1
1970.0,Uruguay,Italy,0,0,0
1970.0,Sweden,Israel,1,1,2
1970.0,Uruguay,Sweden,0,1,1
1970.0,Israel,Italy,0,0,0
1970.0,Romania,England,0,1,1
1970.0,Czechoslovakia,Brazil,1,4,5
1970.0,Romania,Czechoslovakia,2,1,3
1970.0,England,Brazil,0,1,1
1970.0,Romania,Brazil,2,3,5
1970.0,England,Czechoslovakia,1,0,1
1970.0,Peru,Bulgaria,3,2,5
1970.0,West Germany,Morocco,2,1,3
1970.0,Peru,Morocco,3,0,3
1970.0,West Germany,Bulgaria,5,2,7
1970.0,West Germany,Peru,3,1,4
1970.0,Bulgaria,Morocco,1,1,2
1974.0,Brazil,Poland,0,1,1
1974.0,Netherlands,West Germany,1,2,3
1974.0,West Germany,Chile,1,0,1
1974.0,East Germany,Australia,2,0,2
1974.0,Australia,West Germany,0,3,3
1974.0,Chile,East Germany,1,1,2
1974.0,Australia,Chile,0,0,0
1974.0,East Germany,West Germany,1,0,1
1974.0,Brazil,Yugoslavia,0,0,0
1974.0,Zaire,Scotland,0,2,2
1974.0,Scotland,Brazil,0,0,0
1974.0,Yugoslavia,Zaire,9,0,9
1974.0,Scotland,Yugoslavia,1,1,2
1974.0,Zaire,Brazil,0,3,3
1974.0,Uruguay,Netherlands,0,2,2
1974.0,Sweden,Bulgaria,0,0,0
1974.0,Bulgaria,Uruguay,1,1,2
1974.0,Netherlands,Sweden,0,0,0
1974.0,Bulgaria,Netherlands,1,4,5
1974.0,Sweden,Uruguay,3,0,3
1974.0,Italy,Haiti,3,1,4
1974.0,Poland,Argentina,3,2,5
1974.0,Argentina,Italy,1,1,2
1974.0,Haiti,Poland,0,7,7
1974.0,Argentina,Haiti,4,1,5
1974.0,Poland,Italy,2,1,3
1974.0,Netherlands,Argentina,4,0,4
1974.0,Brazil,East Germany,1,0,1
1974.0,Argentina,Brazil,1,2,3
1974.0,East Germany,Netherlands,0,2,2
1974.0,Argentina,East Germany,1,1,2
1974.0,Netherlands,Brazil,2,0,2
1974.0,Yugoslavia,West Germany,0,2,2
1974.0,Sweden,Poland,0,1,1
1974.0,Poland,Yugoslavia,2,1,3
1974.0,West Germany,Sweden,4,2,6
1974.0,Poland,West Germany,0,1,1
1974.0,Sweden,Yugoslavia,2,1,3
1978.0,Brazil,Italy,2,1,3
1978.0,Argentina,Netherlands,3,1,4
1978.0,Italy,France,2,1,3
1978.0,Argentina,Hungary,2,1,3
1978.0,Italy,Hungary,3,1,4
1978.0,Argentina,France,2,1,3
1978.0,France,Hungary,3,1,4
1978.0,Argentina,Italy,0,1,1
1978.0,West Germany,Poland,0,0,0
1978.0,Tunisia,Mexico,3,1,4
1978.0,West Germany,Mexico,6,0,6
1978.0,Poland,Tunisia,1,0,1
1978.0,West Germany,Tunisia,0,0,0
1978.0,Poland,Mexico,3,1,4
1978.0,Austria,Spain,2,1,3
1978.0,Brazil,Sweden,1,1,2
1978.0,Austria,Sweden,1,0,1
1978.0,Brazil,Spain,0,0,0
1978.0,Spain,Sweden,1,0,1
1978.0,Brazil,Austria,1,0,1
1978.0,Peru,Scotland,3,1,4
1978.0,Netherlands,Iran,3,0,3
1978.0,Scotland,Iran,1,1,2
1978.0,Netherlands,Peru,0,0,0
1978.0,Peru,Iran,4,1,5
1978.0,Scotland,Netherlands,3,2,5
1978.0,Austria,Netherlands,1,5,6
1978.0,Italy,West Germany,0,0,0
1978.0,Netherlands,West Germany,2,2,4
1978.0,Italy,Austria,1,0,1
1978.0,Austria,West Germany,3,2,5
1978.0,Italy,Netherlands,1,2,3
1978.0,Peru,Brazil,0,3,3
1978.0,Argentina,Poland,2,0,2
1978.0,Peru,Poland,0,1,1
1978.0,Argentina,Brazil,0,0,0
1978.0,Poland,Brazil,1,3,4
1978.0,Argentina,Peru,6,0,6
1982.0,Poland,Italy,0,2,2
1982.0,West Germany,France,3,3,6
1982.0,Poland,France,3,2,5
1982.0,Italy,West Germany,3,1,4
1982.0,Italy,Poland,0,0,0
1982.0,Peru,Cameroon,0,0,0
1982.0,Italy,Peru,1,1,2
1982.0,Poland,Cameroon,0,0,0
1982.0,Poland,Peru,5,1,6
1982.0,Italy,Cameroon,1,1,2
1982.0,West Germany,Algeria,1,2,3
1982.0,Chile,Austria,0,1,1
1982.0,West Germany,Chile,4,1,5
1982.0,Algeria,Austria,0,2,2
1982.0,Algeria,Chile,3,2,5
1982.0,West Germany,Austria,1,0,1
1982.0,Argentina,Belgium,0,1,1
1982.0,Hungary,El Salvador,10,1,11
1982.0,Argentina,Hungary,4,1,5
1982.0,Belgium,El Salvador,1,0,1
1982.0,Belgium,Hungary,1,1,2
1982.0,Argentina,El Salvador,2,0,2
1982.0,England,France,3,1,4
1982.0,Czechoslovakia,Kuwait,1,1,2
1982.0,England,Czechoslovakia,2,0,2
1982.0,France,Kuwait,4,1,5
1982.0,France,Czechoslovakia,1,1,2
1982.0,England,Kuwait,1,0,1
1982.0,Spain,Honduras,1,1,2
1982.0,Yugoslavia,Northern Ireland,0,0,0
1982.0,Spain,Yugoslavia,2,1,3
1982.0,Honduras,Northern Ireland,1,1,2
1982.0,Honduras,Yugoslavia,0,1,1
1982.0,Spain,Northern Ireland,0,1,1
1982.0,Brazil,Soviet Union,2,1,3
1982.0,Scotland,New Zealand,5,2,7
1982.0,Brazil,Scotland,4,1,5
1982.0,Soviet Union,New Zealand,3,0,3
1982.0,Soviet Union,Scotland,2,2,4
1982.0,Brazil,New Zealand,4,0,4
1982.0,Poland,Belgium,3,0,3
1982.0,Belgium,Soviet Union,0,1,1
1982.0,Soviet Union,Poland,0,0,0
1982.0,West Germany,England,0,0,0
1982.0,West Germany,Spain,2,1,3
1982.0,Spain,England,0,0,0
1982.0,Italy,Argentina,2,1,3
1982.0,Argentina,Brazil,1,3,4
1982.0,Italy,Brazil,3,2,5
1982.0,Austria,France,0,1,1
1982.0,Austria,Northern Ireland,2,2,4
1982.0,France,Northern Ireland,4,1,5
1986.0,Mexico,Bulgaria,2,0,2
1986.0,Soviet Union,Belgium,3,4,7
1986.0,Brazil,Poland,4,0,4
1986.0,Argentina,Uruguay,1,0,1
1986.0,Italy,France,0,2,2
1986.0,Morocco,West Germany,0,1,1
1986.0,England,Paraguay,3,0,3
1986.0,Denmark,Spain,1,5,6
1986.0,Brazil,France,1,1,2
1986.0,West Germany,Mexico,0,0,0
1986.0,Argentina,England,2,1,3
1986.0,Spain,Belgium,1,1,2
1986.0,France,West Germany,0,2,2
1986.0,Argentina,Belgium,2,0,2
1986.0,Belgium,France,2,4,6
1986.0,Argentina,West Germany,3,2,5
1986.0,Bulgaria,Italy,1,1,2
1986.0,Argentina,South Korea,3,1,4
1986.0,Italy,Argentina,1,1,2
1986.0,South Korea,Bulgaria,1,1,2
1986.0,South Korea,Italy,2,3,5
1986.0,Argentina,Bulgaria,2,0,2
1986.0,Belgium,Mexico,1,2,3
1986.0,Paraguay,Iraq,1,0,1
1986.0,Mexico,Paraguay,1,1,2
1986.0,Iraq,Belgium,1,2,3
1986.0,Paraguay,Belgium,2,2,4
1986.0,Iraq,Mexico,0,1,1
1986.0,Canada,France,0,1,1
1986.0,Soviet Union,Hungary,6,0,6
1986.0,France,Soviet Union,1,1,2
1986.0,Hungary,Canada,2,0,2
1986.0,Hungary,France,0,3,3
1986.0,Soviet Union,Canada,2,0,2
1986.0,Spain,Brazil,0,1,1
1986.0,Algeria,Northern Ireland,1,1,2
1986.0,Brazil,Algeria,1,0,1
1986.0,Northern Ireland,Spain,1,2,3
1986.0,Northern Ireland,Brazil,0,3,3
1986.0,Algeria,Spain,0,3,3
1986.0,Uruguay,West Germany,1,1,2
1986.0,Scotland,Denmark,0,1,1
1986.0,West Germany,Scotland,2,1,3
1986.0,Denmark,Uruguay,6,1,7
1986.0,Denmark,West Germany,2,0,2
1986.0,Scotland,Uruguay,0,0,0
1986.0,Morocco,Poland,0,0,0
1986.0,Portugal,England,1,0,1
1986.0,England,Morocco,0,0,0
1986.0,Poland,Portugal,1,0,1
1986.0,England,Poland,3,0,3
1986.0,Portugal,Morocco,1,3,4
1990.0,Cameroon,Colombia,2,1,3
1990.0,Czechoslovakia,Costa Rica,4,1,5
1990.0,Brazil,Argentina,0,1,1
1990.0,West Germany,Netherlands,2,1,3
1990.0,Republic of Ireland,Romania,0,0,0
1990.0,Italy,Uruguay,2,0,2
1990.0,Spain,Yugoslavia,1,2,3
1990.0,England,Belgium,1,0,1
1990.0,Argentina,Yugoslavia,0,0,0
1990.0,Republic of Ireland,Italy,0,1,1
1990.0,Czechoslovakia,West Germany,0,1,1
1990.0,Cameroon,England,2,3,5
1990.0,Argentina,Italy,1,1,2
1990.0,West Germany,England,1,1,2
1990.0,Italy,England,2,1,3
1990.0,West Germany,Argentina,1,0,1
1990.0,Italy,Austria,1,0,1
1990.0,United States,Czechoslovakia,1,5,6
1990.0,Italy,United States,1,0,1
1990.0,Austria,Czechoslovakia,0,1,1
1990.0,Italy,Czechoslovakia,2,0,2
1990.0,Austria,United States,2,1,3
1990.0,Argentina,Cameroon,0,1,1
1990.0,Soviet Union,Romania,0,2,2
1990.0,Argentina,Soviet Union,2,0,2
1990.0,Cameroon,Romania,2,1,3
1990.0,Argentina,Romania,1,1,2
1990.0,Cameroon,Soviet Union,0,4,4
1990.0,Brazil,Sweden,2,1,3
1990.0,Costa Rica,Scotland,1,0,1
1990.0,Brazil,Costa Rica,1,0,1
1990.0,Sweden,Scotland,1,2,3
1990.0,Brazil,Scotland,1,0,1
1990.0,Sweden,Costa Rica,1,2,3
1990.0,United Arab Emirates,Colombia,0,2,2
1990.0,West Germany,Yugoslavia,4,1,5
1990.0,Yugoslavia,Colombia,1,0,1
1990.0,West Germany,United Arab Emirates,5,1,6
1990.0,West Germany,Colombia,1,1,2
1990.0,Yugoslavia,United Arab Emirates,4,1,5
1990.0,Belgium,South Korea,2,0,2
1990.0,Uruguay,Spain,0,0,0
1990.0,Belgium,Uruguay,3,1,4
1990.0,South Korea,Spain,1,3,4
1990.0,Belgium,Spain,1,2,3
1990.0,South Korea,Uruguay,0,1,1
1990.0,England,Republic of Ireland,1,1,2
1990.0,Netherlands,Egypt,1,1,2
1990.0,England,Netherlands,0,0,0
1990.0,Republic of Ireland,Egypt,0,0,0
1990.0,England,Egypt,1,0,1
1990.0,Republic of Ireland,Netherlands,1,1,2
1994.0,Germany,Belgium,3,2,5
1994.0,Spain,Switzerland,3,0,3
1994.0,Saudi Arabia,Sweden,1,3,4
1994.0,Romania,Argentina,3,2,5
1994.0,Netherlands,Republic of Ireland,2,0,2
1994.0,Brazil,United States,1,0,1
1994.0,Nigeria,Italy,1,2,3
1994.0,Mexico,Bulgaria,1,1,2
1994.0,Italy,Spain,2,1,3
1994.0,Netherlands,Brazil,2,3,5
1994.0,Bulgaria,Germany,2,1,3
1994.0,Romania,Sweden,2,2,4
1994.0,Bulgaria,Italy,1,2,3
1994.0,Sweden,Brazil,0,1,1
1994.0,Sweden,Bulgaria,4,0,4
1994.0,Brazil,Italy,0,0,0
1994.0,United States,Switzerland,1,1,2
1994.0,Colombia,Romania,1,3,4
1994.0,Romania,Switzerland,1,4,5
1994.0,United States,Colombia,2,1,3
1994.0,Switzerland,Colombia,0,2,2
1994.0,United States,Romania,0,1,1
1994.0,Cameroon,Sweden,2,2,4
1994.0,Brazil,Russia,2,0,2
1994.0,Brazil,Cameroon,3,0,3
1994.0,Sweden,Russia,3,1,4
1994.0,Russia,Cameroon,6,1,7
1994.0,Brazil,Sweden,1,1,2
1994.0,Germany,Bolivia,1,0,1
1994.0,Spain,South Korea,2,2,4
1994.0,Germany,Spain,1,1,2
1994.0,South Korea,Bolivia,0,0,0
1994.0,Bolivia,Spain,1,3,4
1994.0,Germany,South Korea,3,2,5
1994.0,Argentina,Greece,4,0,4
1994.0,Nigeria,Bulgaria,3,0,3
1994.0,Argentina,Nigeria,2,1,3
1994.0,Bulgaria,Greece,4,0,4
1994.0,Argentina,Bulgaria,0,2,2
1994.0,Greece,Nigeria,0,2,2
1994.0,Italy,Republic of Ireland,0,1,1
1994.0,Norway,Mexico,1,0,1
1994.0,Italy,Norway,1,0,1
1994.0,Mexico,Republic of Ireland,2,1,3
1994.0,Italy,Mexico,1,1,2
1994.0,Republic of Ireland,Norway,0,0,0
1994.0,Belgium,Morocco,1,0,1
1994.0,Netherlands,Saudi Arabia,2,1,3
1994.0,Saudi Arabia,Morocco,2,1,3
1994.0,Belgium,Netherlands,1,0,1
1994.0,Belgium,Saudi Arabia,0,1,1
1994.0,Morocco,Netherlands,1,2,3
1998.0,Italy,Norway,1,0,1
1998.0,Brazil,Chile,4,1,5
1998.0,France,Paraguay,1,0,1
1998.0,Nigeria,Denmark,1,4,5
1998.0,Germany,Mexico,2,1,3
1998.0,Netherlands,FR Yugoslavia,2,1,3
1998.0,Romania,Croatia,0,1,1
1998.0,Argentina,England,2,2,4
1998.0,Italy,France,0,0,0
1998.0,Brazil,Denmark,3,2,5
1998.0,Netherlands,Argentina,2,1,3
1998.0,Germany,Croatia,0,3,3
1998.0,Brazil,Netherlands,1,1,2
1998.0,France,Croatia,2,1,3
1998.0,Netherlands,Croatia,1,2,3
1998.0,Brazil,France,0,3,3
1998.0,Brazil,Scotland,2,1,3
1998.0,Morocco,Norway,2,2,4
1998.0,Scotland,Norway,1,1,2
1998.0,Brazil,Morocco,3,0,3
1998.0,Brazil,Norway,1,2,3
1998.0,Scotland,Morocco,0,3,3
1998.0,Italy,Chile,2,2,4
1998.0,Cameroon,Austria,1,1,2
1998.0,Chile,Austria,1,1,2
1998.0,Italy,Cameroon,3,0,3
1998.0,Italy,Austria,2,1,3
1998.0,Chile,Cameroon,1,1,2
1998.0,Saudi Arabia,Denmark,0,1,1
1998.0,France,South Africa,3,0,3
1998.0,South Africa,Denmark,1,1,2
1998.0,France,Saudi Arabia,4,0,4
1998.0,France,Denmark,2,1,3
1998.0,South Africa,Saudi Arabia,2,2,4
1998.0,Paraguay,Bulgaria,0,0,0
1998.0,Spain,Nigeria,2,3,5
1998.0,Nigeria,Bulgaria,1,0,1
1998.0,Spain,Paraguay,0,0,0
1998.0,Nigeria,Paraguay,1,3,4
1998.0,Spain,Bulgaria,6,1,7
1998.0,South Korea,Mexico,1,3,4
1998.0,Netherlands,Belgium,0,0,0
1998.0,Belgium,Mexico,2,2,4
1998.0,Netherlands,South Korea,5,0,5
1998.0,Netherlands,Mexico,2,2,4
1998.0,Belgium,South Korea,1,1,2
1998.0,FR Yugoslavia,Iran,1,0,1
1998.0,Germany,United States,2,0,2
1998.0,Germany,FR Yugoslavia,2,2,4
1998.0,United States,Iran,1,2,3
1998.0,United States,FR Yugoslavia,0,1,1
1998.0,Germany,Iran,2,0,2
1998.0,England,Tunisia,2,0,2
1998.0,Romania,Colombia,1,0,1
1998.0,Colombia,Tunisia,1,0,1
1998.0,Romania,England,2,1,3
1998.0,Colombia,England,0,2,2
1998.0,Romania,Tunisia,1,1,2
1998.0,Argentina,Japan,1,0,1
1998.0,Jamaica,Croatia,1,3,4
1998.0,Japan,Croatia,0,1,1
1998.0,Argentina,Jamaica,5,0,5
1998.0,Argentina,Croatia,1,0,1
1998.0,Japan,Jamaica,1,2,3
2002.0,France,Senegal,0,1,1
2002.0,Uruguay,Denmark,1,2,3
2002.0,Denmark,Senegal,1,1,2
2002.0,France,Uruguay,0,0,0
2002.0,Denmark,France,2,0,2
2002.0,Senegal,Uruguay,3,3,6
2002.0,Paraguay,South Africa,2,2,4
2002.0,Spain,Slovenia,3,1,4
2002.0,Spain,Paraguay,3,1,4
2002.0,South Africa,Slovenia,1,0,1
2002.0,South Africa,Spain,2,3,5
2002.0,Slovenia,Paraguay,1,3,4
2002.0,Brazil,Turkey,2,1,3
2002.0,China,Costa Rica,0,2,2
2002.0,Brazil,China,4,0,4
2002.0,Costa Rica,Turkey,1,1,2
2002.0,Costa Rica,Brazil,2,5,7
2002.0,Turkey,China,3,0,3
2002.0,South Korea,Poland,2,0,2
2002.0,United States,Portugal,3,2,5
2002.0,South Korea,United States,1,1,2
2002.0,Portugal,Poland,4,0,4
2002.0,Portugal,South Korea,0,1,1
2002.0,Poland,United States,3,1,4
2002.0,Republic of Ireland,Cameroon,1,1,2
2002.0,Germany,Saudi Arabia,8,0,8
2002.0,Germany,Republic of Ireland,1,1,2
2002.0,Cameroon,Saudi Arabia,1,0,1
2002.0,Cameroon,Germany,0,2,2
2002.0,Saudi Arabia,Republic of Ireland,0,3,3
2002.0,Argentina,Nigeria,1,0,1
2002.0,England,Sweden,1,1,2
2002.0,Sweden,Nigeria,2,1,3
2002.0,Argentina,England,0,1,1
2002.0,Sweden,Argentina,1,1,2
2002.0,Nigeria,England,0,0,0
2002.0,Croatia,Mexico,0,1,1
2002.0,Italy,Ecuador,2,0,2
2002.0,Italy,Croatia,1,2,3
2002.0,Mexico,Ecuador,2,1,3
2002.0,Mexico,Italy,1,1,2
2002.0,Ecuador,Croatia,1,0,1
2002.0,Japan,Belgium,2,2,4
2002.0,Russia,Tunisia,2,0,2
2002.0,Japan,Russia,1,0,1
2002.0,Tunisia,Belgium,1,1,2
2002.0,Tunisia,Japan,0,2,2
2002.0,Belgium,Russia,3,2,5
2002.0,Germany,Paraguay,1,0,1
2002.0,Denmark,England,0,3,3
2002.0,Sweden,Senegal,1,2,3
2002.0,Spain,Republic of Ireland,1,1,2
2002.0,Mexico,United States,0,2,2
2002.0,Brazil,Belgium,2,0,2
2002.0,Japan,Turkey,0,1,1
2002.0,South Korea,Italy,2,1,3
2002.0,England,Brazil,1,2,3
2002.0,Germany,United States,1,0,1
2002.0,Spain,South Korea,0,0,0
2002.0,Senegal,Turkey,0,1,1
2002.0,Germany,South Korea,1,0,1
2002.0,Brazil,Turkey,1,0,1
2002.0,South Korea,Turkey,2,3,5
2002.0,Germany,Brazil,0,2,2
2006.0,Germany,Sweden,2,0,2
2006.0,Argentina,Mexico,2,1,3
2006.0,England,Ecuador,1,0,1
2006.0,Portugal,Netherlands,1,0,1
2006.0,Italy,Australia,1,0,1
2006.0,Switzerland,Ukraine,0,0,0
2006.0,Brazil,Ghana,3,0,3
2006.0,Spain,France,1,3,4
2006.0,Germany,Argentina,1,1,2
2006.0,Italy,Ukraine,3,0,3
2006.0,England,Portugal,0,0,0
2006.0,Brazil,France,0,1,1
2006.0,Germany,Italy,0,2,2
2006.0,Portugal,France,0,1,1
2006.0,Germany,Portugal,3,1,4
2006.0,Italy,France,1,1,2
2006.0,Germany,Costa Rica,4,2,6
2006.0,Poland,Ecuador,0,2,2
